id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc
4966,Central Ojibwa,,,,cent2136,algi1248,cent2252,language,46.5741,-84.1543,CA US,ojc,,I,L,,,
4967,Eastern Ojibwa,,,,east2542,algi1248,cent2252,language,45.0112,-79.7503,CA,ojg,,I,L,,,
4968,Ojibwe,,,1321,ojib1241,algi1248,ojib1240,family,49.25,-84.5,CA US,oji,oj,M,L,50000,,
4969,Old Japanese,上代日本語 ,,367,oldj1239,japo1237,japa1256,language,34.683333,135.8,JP,ojp,,I,H,,,
4970,Severn Ojibwa,,,,seve1240,algi1248,seve1242,language,53.9092,-89.9331,CA,ojs,,I,L,,,
4971,Ontong Java,,,4,onto1237,aust1307,cent2299,language,-5.49029,159.701,SB,ojv,,I,L,,,
4972,Western Ojibwa,,,1,west1510,algi1248,nort3181,language,50.5664,-102.525,CA,ojw,,I,L,,,
4973,Okanagan,,"Okanagan Salish, Okanagan-Colville, Colville-Okanagan",86,okan1243,sali1255,sout1559,language,49.2745,-119.294,CA US,oka,,I,L,,,
4974,Okobo,,,1,okob1241,atla1278,obol1242,language,5.02037,8.08696,NG,okb,,I,L,,,
4975,Okodia,,"Okordia, Akita",1,okod1238,ijoi1239,inla1259,language,5.29237,6.44113,NG,okd,,I,L,,,
4976,Okpe (Southwestern Edo),Okpe,"Okpe, Okpe (Nigeria), Southwestern Edo",,okpe1250,atla1278,sout2805,language,7.22407,5.94885,NG,oke,,I,L,,,
4977,Kok-Paponk,,,2,koko1273,book1242,book1242,language,-15.82602,141.48016,AU,okg,,I,E,,,
4978,Koresh-e Rostam,,,,kore1279,indo1319,khal1276,language,37.794,44.895,IR,okh,,I,L,,,
4979,Okiek,,"Ogiek, Akiek, Akie, Aki, Mosiro, Mediak, Kisankasa",,okie1245,nilo1247,okie1247,language,-2.78048,36.5977,KE TZ,oki,,I,L,20000,,
4980,Oko-Juwoi,,"Juwoi, Juwai, Junoi",,okoj1239,grea1241,midd1323,language,13.0472,92.8753,IN,okj,,I,E,,,
4981,Kwamtim One,,,,kwam1254,nucl1708,onee1245,language,-3.44911,141.889,PG,okk,,I,L,,,
4982,Old Kentish Sign Language,,,,oldk1238,sign1238,vill1244,language,51.1198,0.98365,GB,okl,,I,E,,,
4983,Middle Korean,,,577,,,,,,,,okm,,I,H,,,
4984,Oki-No-Erabu,,"Okino-Erabu, Okinoerabu",27,okin1246,japo1237,okin1245,language,27.3738,128.619,JP,okn,,I,L,,,
4985,Old Korean,,,75,,,,,,,,oko,,I,H,,,
4986,Kirike,,,3,kiri1254,ijoi1239,kaki1246,language,4.41126,6.98938,NG,okr,,I,L,,,
4987,Oko-Eni-Osayen,,,,okoe1238,atla1278,benu1247,language,7.53908,6.15725,NG,oks,,I,L,,,
4988,Oku,,,,okuu1243,atla1278,komk1239,language,6.23712,10.5096,CM,oku,,I,L,,,
4989,Orokaiva,Orokaiva,,,orok1269,nucl1709,orok1268,language,-8.79019,148.09,PG,okv,,I,L,,,
