traditional,pronunciation,pronunciations,audio,definitions,pos
咬臍毋斷帶,ngau²⁴qi¹¹m¹¹ton²⁴dai⁵⁵,四⃞ngau²⁴qi¹¹m¹¹ton²⁴dai⁵⁵ 海⃞ngau⁵³ci⁵⁵m⁵⁵ton⁵³dai¹¹ 大⃞ngau³³ci¹¹³m¹¹³ton³³dai⁵³ 平⃞ngau¹¹ci⁵⁵m⁵⁵ton¹¹dai⁵³,09243,形容做事沒魄力、不乾脆。,形
咬薑啜醋,ngau²⁴giong²⁴cod²cii⁵⁵,四⃞ngau²⁴giong²⁴cod²cii⁵⁵ 海⃞ngau⁵³giong⁵³cod⁵cu¹¹ 大⃞ngau³³giong³³cod⁵⁴cii⁵³ 平⃞ngau¹¹giong¹¹cod²sii⁵³,09242,三餐以薑和醋來伴飯過活，用以比喻生活清苦。,動
咯,gog²,四⃞gog² 海⃞gog⁵ 大⃞gog⁵⁴ 平⃞gog² 安⃞gog⁴³ 南⃞gog²,04421,狀聲詞，形容雞叫聲。,
咯咯跳,gog²gog²tiau⁵⁵,四⃞gog²gog²tiau⁵⁵ 海⃞gog⁵gog⁵tiau¹¹ 大⃞gog⁵⁴gog⁵⁴tiau¹¹³ 平⃞gog²gog²tiau⁵⁵ 南⃞gog²gog²tiau⁵⁵,04422,狀聲詞。形容雞叫的聲音。,形
咳,kied²,四⃞kied² 海⃞kied⁵ 大⃞kied²¹ 平⃞kied² 安⃞kem⁵³ 南⃞kied²,06836,見「咳嗽」。,
咳嗽,kied²cug⁵,四⃞kied²cug⁵ 海⃞kied⁵cug² 大⃞kied²¹cug⁵⁴ 平⃞kied²cug⁵ 安⃞kem⁵³seu³¹ 南⃞kied²cug⁵,06837,氣管受到刺激，把氣體或痰用力排出的反射動作。,動
咸,ham¹¹,四⃞ham¹¹ 海⃞ham⁵⁵ 大⃞ham¹¹³ 平⃞ham⁵⁵ 安⃞ham⁵³ 南⃞ham¹¹,04937,全部、完全、都。,
哀,oi²⁴,四⃞oi²⁴ 海⃞oi⁵³ 大⃞oi³³ 平⃞oi¹¹ 安⃞oi¹¹ 南⃞oi²⁴,09888,悲傷、難過。|悼念。|母親去世時自稱。|母親。,|||
哀,oi³¹,四⃞oi³¹ 海⃞oi²⁴ 大⃞oi³¹ 平⃞oi¹¹ 安⃞oi¹¹ 南⃞ai³¹,09892,嘆詞。表可惜。,
哀傷,oi²⁴song²⁴,四⃞oi²⁴song²⁴ 海⃞oi⁵³shong⁵³ 大⃞oi³³shong³³ 平⃞oi¹¹shong¹¹ 安⃞oi¹¹shong¹¹ 南⃞oi²⁴song²⁴,09890,悲痛、傷心。,形
